Loan_ID,Name,Phone,Email,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Person 001,9800000001,person001@example.com,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
LP001003,Person 002,9800000002,person002@example.com,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
LP001005,Person 003,9800000003,person003@example.com,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP001006,Person 004,9800000004,person004@example.com,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP001008,Person 005,9800000005,person005@example.com,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP001011,Person 006,9800000006,person006@example.com,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
LP001013,Person 007,9800000007,person007@example.com,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
LP001014,Person 008,9800000008,person008@example.com,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP001018,Person 009,9800000009,person009@example.com,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP001020,Person 010,9800000010,person010@example.com,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP001024,Person 011,9800000011,person011@example.com,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
LP001027,Person 012,9800000012,person012@example.com,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
LP001028,Person 013,9800000013,person013@example.com,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
LP001029,Person 014,9800000014,person014@example.com,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
LP001030,Person 015,9800000015,person015@example.com,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
LP001032,Person 016,9800000016,person016@example.com,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
LP001034,Person 017,9800000017,person017@example.com,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
LP001036,Person 018,9800000018,person018@example.com,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
LP001038,Person 019,9800000019,person019@example.com,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
LP001041,Person 020,9800000020,person020@example.com,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
LP001043,Person 021,9800000021,person021@example.com,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
LP001046,Person 022,9800000022,person022@example.com,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
LP001047,Person 023,9800000023,person023@example.com,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
LP001050,Person 024,9800000024,person024@example.com,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
LP001052,Person 025,9800000025,person025@example.com,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
LP001066,Person 026,9800000026,person026@example.com,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
LP001068,Person 027,9800000027,person027@example.com,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
LP001073,Person 028,9800000028,person028@example.com,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
LP001086,Person 029,9800000029,person029@example.com,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
